file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,id
audio.wav,0 days 00:00:00.160362812,0 days 00:00:00.180362812,0.4723517,-20.783737,30.817566,-0.10663275,-0.011350649,0.8044882,29.854673,-7.9059243,35.902927,-4.006292,0.0,0.0,0.0,0.0,0.0,0.0,778.23126,1121.9507,-201.0,1767.9238,937.88995,-201.0,2728.2336,825.7351,-201.0,audio1
audio.wav,0 days 00:00:00.170385488,0 days 00:00:00.190385488,0.41278872,-20.908154,30.599318,-0.09406334,-0.015624896,0.58960515,30.548773,-5.354494,34.695683,-6.6082387,0.0,0.0,0.0,0.0,0.0,0.0,597.2166,1209.2402,-201.0,1648.7162,1014.80194,-201.0,2544.9346,975.34,-201.0,audio1
audio.wav,0 days 00:00:00.180408163,0 days 00:00:00.200408163,0.36720526,-22.313545,32.0492,-0.09880709,-0.017566033,0.616201,30.382101,-1.8721288,35.47921,-3.792373,0.0,0.0,0.0,0.0,0.0,0.0,603.5623,1226.9835,-201.0,1638.0815,1001.3845,-201.0,2529.813,996.747,-201.0,audio1
audio.wav,0 days 00:00:00.190430839,0 days 00:00:00.210430839,0.3338747,-20.613432,32.494976,-0.08857169,-0.013911881,0.6335277,27.223421,0.22057049,32.87524,-1.5630432,0.0,0.0,0.0,0.0,0.0,0.0,803.9377,1124.2367,-201.0,1827.7802,935.5275,-201.0,2770.9563,923.99243,-201.0,audio1
audio.wav,0 days 00:00:00.200453515,0 days 00:00:00.220453515,0.30395287,-22.114006,33.654873,-0.09891436,-0.008052214,0.74136513,26.827942,-0.105764836,36.99289,3.5884428,0.0,0.0,0.0,0.0,0.0,0.0,1024.1652,1059.1216,-201.0,1987.9679,946.5306,-201.0,2931.802,825.30176,-201.0,audio1
audio.wav,0 days 00:00:00.210476190,0 days 00:00:00.230476190,0.2770778,-21.878504,33.688232,-0.08931389,-0.005583119,0.74081165,25.202492,1.8739134,33.897785,6.243856,0.0,0.0,0.0,0.0,0.0,0.0,1050.878,1224.8297,-201.0,1936.4222,1093.1881,-201.0,2912.9707,798.41113,-201.0,audio1
audio.wav,0 days 00:00:00.220498866,0 days 00:00:00.240498866,0.2535145,-26.235214,35.643284,-0.11449873,-0.00908775,0.54449075,28.600122,0.69486326,39.09811,3.482542,0.0,0.0,0.0,0.0,0.0,0.0,1107.4716,1313.6626,-201.0,1973.1959,1146.2487,-201.0,3013.958,737.20996,-201.0,audio1
audio.wav,0 days 00:00:00.230521542,0 days 00:00:00.250521542,0.22359379,-25.610909,35.76118,-0.106896766,-0.009406227,0.42772925,27.768984,1.9930426,34.522472,1.0457038,0.0,0.0,0.0,0.0,0.0,0.0,1079.3842,1277.5568,-201.0,2002.9137,1012.98975,-201.0,3128.9285,721.26514,-201.0,audio1
audio.wav,0 days 00:00:00.240544218,0 days 00:00:00.260544218,0.2051404,-27.000391,36.21302,-0.11068215,-0.0071742195,0.38375697,28.154757,2.2905016,36.117344,0.42479792,0.0,0.0,0.0,0.0,0.0,0.0,1060.7538,1208.664,-201.0,2014.3033,911.60205,-201.0,3168.821,675.90436,-201.0,audio1
audio.wav,0 days 00:00:00.250566893,0 days 00:00:00.270566893,0.18641825,-27.15605,36.548,-0.1130554,-0.0006202943,0.32254404,24.930166,4.02146,31.394567,6.244102,0.0,0.0,0.0,0.0,0.0,0.0,1021.0339,1133.5316,-201.0,1962.2494,883.0246,-201.0,3103.0012,701.5039,-201.0,audio1
audio.wav,0 days 00:00:00.260589569,0 days 00:00:00.280589569,0.17105441,-27.392378,37.55386,-0.11538353,-0.00028019282,0.3018318,23.043238,4.5406346,30.99566,11.2337265,0.0,0.0,0.0,0.0,0.0,0.0,1091.7555,1105.0326,-201.0,2059.5017,1046.3575,-201.0,3080.9934,903.39453,-201.0,audio1
audio.wav,0 days 00:00:00.270612245,0 days 00:00:00.290612245,0.15690891,-26.611984,37.574764,-0.11550817,0.00065944094,0.21079463,22.374199,2.7009125,27.73725,11.433911,0.0,0.0,0.0,0.0,0.0,0.0,1097.6461,987.76447,-201.0,2140.9749,1054.9619,-201.0,3115.138,945.5544,-201.0,audio1
audio.wav,0 days 00:00:00.280634921,0 days 00:00:00.300634921,0.1400155,-26.657501,37.944565,-0.116708495,0.001661182,0.22977628,23.013494,1.5041033,28.369654,12.575207,0.0,0.0,0.0,0.0,0.0,0.0,1205.3226,996.6213,-201.0,2307.2957,1189.7373,-201.0,3324.1553,1167.8383,-201.0,audio1
audio.wav,0 days 00:00:00.290657596,0 days 00:00:00.310657596,0.12174645,-28.5989,38.78596,-0.12640305,0.004778095,0.14764094,24.183996,0.39752474,27.946426,11.019307,0.0,0.0,0.0,0.0,0.0,0.0,1161.462,1049.957,-201.0,2210.6445,1197.2479,-201.0,3258.9414,1056.715,-201.0,audio1
audio.wav,0 days 00:00:00.300680272,0 days 00:00:00.320680272,0.10229107,-26.832136,37.30804,-0.111849666,-0.0022757936,0.17306584,23.651411,2.181118,27.504875,8.602374,0.0,0.0,0.0,0.0,0.0,0.0,1110.9415,1276.7109,-201.0,2174.7043,1256.5797,-201.0,3126.9924,1209.2352,-201.0,audio1
audio.wav,0 days 00:00:00.310702948,0 days 00:00:00.330702948,0.08365784,-26.88774,37.564205,-0.10552901,-0.0033880102,0.12688263,24.45703,2.6102202,31.067316,4.879584,0.0,0.0,0.0,0.0,0.0,0.0,1009.7497,1204.9755,-201.0,2055.4978,1068.4884,-201.0,2921.8865,1152.0253,-201.0,audio1
audio.wav,0 days 00:00:00.320725624,0 days 00:00:00.340725624,0.06851264,-25.721079,36.977825,-0.098567285,-0.0009386673,0.112883665,24.397936,0.9638855,31.234812,4.4800296,0.0,0.0,0.0,0.0,0.0,0.0,994.39886,1128.5669,-201.0,2080.8162,921.28204,-201.0,2999.6943,1119.8815,-201.0,audio1
audio.wav,0 days 00:00:00.330748299,0 days 00:00:00.350748299,0.057476193,-25.745607,36.983112,-0.105680816,0.0045818817,0.053834993,18.91088,4.4638977,29.041868,8.365329,0.0,0.0,0.0,0.0,0.0,0.0,1057.0703,906.31757,-201.0,2109.6064,790.7044,-201.0,3150.7957,862.25165,-201.0,audio1
audio.wav,0 days 00:00:00.340770975,0 days 00:00:00.360770975,0.3626462,-14.525078,24.749102,-0.055354428,0.004082696,0.1688688,5.280248,0.2045695,9.652881,0.7948437,0.0,0.0,0.0,0.0,0.0,0.0,1134.0414,924.7817,-201.0,2192.019,717.3201,-201.0,3202.6643,944.6286,-201.0,audio1
audio.wav,0 days 00:00:00.350793651,0 days 00:00:00.370793651,1.4010278,-5.7432632,14.552147,0.0102368,-0.002306445,1.1105717,-5.5839143,-8.081727,-9.712406,-9.243978,0.0,0.0,0.0,0.0,0.0,0.0,1231.8055,936.59344,-201.0,2252.4482,854.5799,-201.0,3241.1404,914.41187,-201.0,audio1
audio.wav,0 days 00:00:00.360816327,0 days 00:00:00.380816327,2.4059837,4.045177,3.7618344,0.07761548,0.0021462077,1.9041382,-8.819453,-16.476128,-15.664653,-13.082268,0.0,0.0,0.0,0.0,0.0,0.0,1013.8526,824.1917,-201.0,2021.5166,810.07733,-201.0,3007.5137,875.67804,-201.0,audio1
audio.wav,0 days 00:00:00.370839002,0 days 00:00:00.390839002,3.263769,2.4126253,4.294042,0.07931782,-0.0015360158,2.4901755,-2.7885268,-14.771985,-10.758174,-9.541153,0.0,0.0,0.0,0.0,0.0,0.0,685.7888,905.98016,-201.0,1701.6885,918.43146,-201.0,2687.661,625.5481,-201.0,audio1
audio.wav,0 days 00:00:00.380861678,0 days 00:00:00.400861678,3.114957,1.5502564,5.432219,0.06641192,-0.002430361,2.1973083,2.781625,-4.6241684,0.6400975,-2.9013903,0.0,0.0,0.0,0.0,0.0,0.0,343.8049,1063.6455,-201.0,1349.4735,766.4546,-201.0,2359.6643,550.6509,-201.0,audio1
audio.wav,0 days 00:00:00.390884354,0 days 00:00:00.410884354,2.771115,-0.9351067,6.9754176,0.05129085,-0.008004703,1.9232212,4.3159924,0.020260254,1.0643762,-0.05183967,0.0,0.0,0.0,0.0,0.0,0.0,329.01468,1439.6465,-201.0,1280.1149,972.35474,-201.0,2237.1353,678.8726,-201.0,audio1
audio.wav,0 days 00:00:00.400907029,0 days 00:00:00.420907029,2.2732975,0.03473894,7.12087,0.051545624,-0.0018642436,1.5683321,3.1282632,-2.6827927,-2.0781898,3.3565369,0.0,0.0,0.0,0.0,0.0,0.0,366.37735,1328.5216,-201.0,1307.0293,1003.4971,-201.0,2239.6575,788.8308,-201.0,audio1
audio.wav,0 days 00:00:00.410929705,0 days 00:00:00.430929705,1.9748226,2.2595313,4.339783,0.06851391,-0.00039758533,1.1898195,0.21928148,-6.0344315,-3.3153512,3.395819,0.0,0.0,0.0,0.0,0.0,0.0,413.17822,1200.7892,-201.0,1340.1702,1013.62274,-201.0,2254.5046,870.6262,-201.0,audio1
audio.wav,0 days 00:00:00.420952381,0 days 00:00:00.440952381,1.8620268,4.76743,4.602347,0.06698362,0.0040547326,0.90152097,-1.6309948,-9.975941,-6.6200333,0.86286706,0.0,0.0,0.0,0.0,0.0,0.0,433.04053,927.26154,-201.0,1399.0063,1133.4442,-201.0,2286.1946,880.554,-201.0,audio1
