0,1,2,3,4,5,6,7,8,9,10,11,12
-584.1884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-584.1884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-584.1884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-541.62585,37.70552,7.8307734,5.7760983,8.214518,1.3374846,-2.0350003,-1.2102511,1.1308558,4.6193366,2.0024445,-4.749951,-5.2124596
-291.97095,194.39366,-38.250122,10.032316,22.446543,-24.740305,-0.56722015,-2.1423304,-10.762934,6.8241773,-6.2952995,-3.373688,9.753191
-227.76868,228.37897,-50.50547,22.946999,29.671309,-29.686922,6.76243,0.9829141,-9.239169,9.873365,-9.998954,0.12866995,14.7542515
-227.63599,235.62924,-41.726177,23.962017,33.984318,-23.45763,7.575671,3.6605763,-6.6263533,6.7935257,-12.765057,-3.240162,8.813466
-212.98456,245.06079,-58.982082,7.6245956,42.806732,-22.467247,0.50508463,10.494932,-3.7568727,13.089472,1.0613744,-7.7559266,8.522509
-188.48859,259.03387,-68.08011,7.1709795,48.076103,-24.651188,4.6122327,15.307667,-8.752068,17.718904,10.909164,-7.4559836,14.567936
-194.2433,258.6886,-57.781498,13.104173,43.796143,-22.798668,17.15046,18.938866,-15.231579,17.15924,12.920069,-8.234907,13.164598
-229.60764,237.77536,-41.062958,26.787092,48.050076,-11.206163,27.30711,21.024569,-12.524742,17.626116,8.63673,-12.006584,9.83753
-261.20776,218.89417,-31.974297,27.226809,47.233093,-1.3364992,26.517958,18.081715,-0.82295865,23.031712,8.840578,-3.3609595,10.966846
-278.78134,205.56024,-32.09281,24.972624,44.353813,-0.039226294,25.741135,16.020054,-0.545892,21.352295,6.042746,-3.490289,10.553531
-293.07037,197.56494,-28.864397,24.35635,43.670334,-0.22755621,23.949993,17.886738,2.3075974,23.418232,9.223892,-4.409998,8.469183
-309.083,191.37177,-24.753046,22.78879,50.338913,3.0531545,17.510822,21.556808,5.1928816,18.578342,14.222773,1.820198,8.167708
-327.8687,189.18948,-20.09934,6.9097376,49.11261,6.3807487,9.637856,27.158009,7.482893,10.7041,22.465172,8.448413,4.094994
-344.20676,185.33896,-10.874311,3.443333,47.56524,8.7449665,5.7762656,29.227724,10.839371,4.279999,19.147436,8.579277,1.2854968
-364.44775,174.31061,-1.9148544,8.753021,49.599648,12.084333,1.5665108,20.883995,6.79383,1.08185,16.069988,7.197736,-2.4584863
-372.8521,170.17938,4.619091,13.822704,49.256218,13.432804,3.1838136,16.425636,1.4937967,1.7977808,19.78159,11.152272,2.3902981
-381.6323,159.66281,1.6040664,14.413916,44.80033,12.080641,8.632418,19.542091,6.7057695,10.046935,18.406124,6.9403057,6.2509575
-392.99268,149.85823,1.369799,17.382494,49.829712,19.645859,13.06632,21.426552,11.008465,9.265036,7.9938025,-1.1270177,3.7336125
-403.80038,145.7973,6.333043,16.26893,50.03311,23.45364,11.9768095,21.477255,15.5181675,10.329208,7.1168346,-0.79554224,1.4144478
-410.40506,146.78009,15.029355,16.437973,44.418533,15.400956,3.1016927,18.605957,12.887621,5.6766477,12.309166,7.058245,-0.8825383
